disease,proxy,n_rem,n_non,median_rem,median_non,p,cliffs_delta,fdr_q
UC,myeloid_share_3lineages,4,13,0.143,0.108,0.9563,0.038,0.9563
UC,myeloid_over_epithelial,4,13,0.294,0.455,0.5487,-0.231,0.9563
