lineage,Disease,stratum,n_remission,n_non_remission,median_remission,median_non_remission,median_diff,mannwhitney_p,cliffs_delta,fdr_q,analysis
cross_lineage,CD,myeloid_over_epithelial,10,5,98.46055273726485,248.60658914728683,-150.14603641002196,0.05527805527805527,-0.64,0.11055611055611055,infiltration_proxy
cross_lineage,UC,myeloid_over_epithelial,4,13,0.2940749966434152,0.4554098505095598,-0.1613348538661446,0.5487394957983193,-0.23076923076923078,0.5487394957983193,infiltration_proxy
cross_lineage,CD,myeloid_share_3lineages,10,5,0.3378516996585215,0.6834170854271356,-0.3455653857686141,0.05527805527805527,-0.64,0.11055611055611055,infiltration_proxy
cross_lineage,UC,myeloid_share_3lineages,4,13,0.14267670277151262,0.10817621599827097,0.03450048677324165,0.9563025210084034,0.038461538461538464,0.9563025210084034,infiltration_proxy
cross_lineage,CD,stromal_share_3lineages,10,5,0.32950637240950786,0.3165829145728643,0.01292345783664356,0.3096903096903097,0.36,0.6193806193806194,infiltration_proxy
cross_lineage,UC,stromal_share_3lineages,4,13,0.3793332842707084,0.4129617487926741,-0.03362846452196572,0.7033613445378151,-0.15384615384615385,0.7033613445378151,infiltration_proxy
