geo_accession,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
ERR3079601,0.0,0.0,0.08236124777584641,0.3069288784282295,0.6107098737959241
ERR3079577,0.0002670805752648729,0.0,0.12093876631540483,0.449344775191653,0.4294493779176773
ERR3079598,0.0,0.0,0.09526763109451082,0.30286324369698514,0.601869125208504
ERR3079591,0.0,0.011775918443717715,0.06933632861063044,0.3606915851995679,0.5581961677460839
ERR3079574,0.0,0.0,0.08372867509106308,0.37118857450729836,0.5450827504016386
ERR3079584,0.0,0.0,0.08855096182158756,0.30232936349093414,0.6091196746874782
ERR3079582,0.0799514057458065,0.06486744107461886,0.0,0.3749481711229016,0.48023298205667314
ERR3079564,0.0,0.0,0.10637574706751897,0.37384314670593144,0.5197811062265496
ERR3079570,0.024819745044532684,0.0,0.04702467392057844,0.3595145160184782,0.5686410650164107
ERR3079569,0.0,0.0,0.06753850453216897,0.32575364440403143,0.6067078510637995
ERR3079594,0.0,0.0,0.15019483929726032,0.30080150267273364,0.5490036580300061
ERR3079592,0.0,0.0,0.029367097794356676,0.3419399958644717,0.6286929063411716
ERR3079572,0.0,0.0,0.09852138876127062,0.37679370024593645,0.5246849109927929
ERR3079568,0.06370699295609494,0.006690854271547352,0.008443046419122717,0.3208351887068636,0.6003239176463714
ERR3079580,0.08265554119743747,0.0,0.0,0.3313620192385006,0.5859824395640619
ERR3079583,0.0,0.09666749586795664,0.05651172297660232,0.6062704592730115,0.24055032188242953
ERR3079563,0.04217420533104244,0.0,0.026411604547920187,0.340451563348817,0.5909626267722203
ERR3079566,0.0,0.0,0.054501645786122765,0.353426612769889,0.5920717414439882
ERR3079587,0.0,0.06320822280948447,0.029962804352901475,0.23236183015195114,0.674467142685663
ERR3079586,0.0,0.03018337654342066,0.015393858528386616,0.5804386217947725,0.3739841431334203
ERR3079600,0.0,0.0,0.06774522533858146,0.27420211538017736,0.6580526592812412
ERR3079560,0.0,0.0,0.14322091987844968,0.44848114129458316,0.4082979388269672
ERR3079567,0.0,0.01981688284342042,0.062144490970695104,0.3552664750010835,0.562772151184801
ERR3079559,0.0,0.0,0.10956210633349667,0.35965952008808005,0.5307783735784233
ERR3079595,0.0,0.0,0.11762575227460925,0.46373035626096276,0.41864389146442793
ERR3079589,0.0,0.0,0.08322837484848856,0.2943002246177397,0.6224714005337718
ERR3079558,0.0,0.0,0.08415384388154211,0.4607120854526205,0.45513407066583744
ERR3079565,0.0,0.0,0.13472059925978233,0.35348289863226867,0.511796502107949
ERR3079575,0.06899276770204256,0.0,0.034274275589420894,0.3449624754772591,0.5517704812312774
ERR3079579,0.009308016962778875,0.029984159998903824,0.0,0.3931556422296119,0.5675521808087055
ERR3079573,0.0,0.0,0.043954948876976575,0.26529112415352896,0.6907539269694944
ERR3079562,0.0,0.0,0.11837304531412962,0.41597811308469285,0.4656488416011775
ERR3079588,0.0,0.0,0.05871135737648801,0.3123220367773102,0.6289666058462019
ERR3079599,0.03072577206104613,0.0,0.02425128338635497,0.3248477850112066,0.6201751595413924
ERR3079590,0.0,0.064165320655117,0.058639733849586394,0.30756458738565273,0.5696303581096438
ERR3079578,0.0,0.011367775150415382,0.07861708768753635,0.4825129885655573,0.4275021485964909
ERR3079596,0.0,0.0,0.05732595980919193,0.4227147299037141,0.519959310287094
ERR3079585,0.03656036051696007,0.0,0.0389010603604519,0.31044089359945903,0.6140976855231289
ERR3079581,0.1309224124483563,0.0,0.0593186115754899,0.1326266050839637,0.6771323708921901
ERR3079571,0.0,0.0,0.04248623889356408,0.2548784664480468,0.7026352946583891
ERR3079597,0.0,0.0,0.08615503988745384,0.3513716602666972,0.562473299845849
ERR3079561,0.0,0.016568667289594805,0.06318708867705927,0.36673445276696415,0.5535097912663818
ERR3079576,0.0,0.0,0.10760176481081755,0.2893589674214188,0.6030392677677636
ERR3079593,0.0,0.0440715286639983,0.0705580877200669,0.41479748415531903,0.47057289946061576
