model,threshold,net_benefit
clinical_Mayo_age,0.1,0.4915254237288136
clinical_Mayo_age,0.15000000000000002,0.4616151545363908
clinical_Mayo_age,0.20000000000000004,0.4279661016949152
clinical_Mayo_age,0.25000000000000006,0.38983050847457623
clinical_Mayo_age,0.30000000000000004,0.3462469733656174
clinical_Mayo_age,0.3500000000000001,0.271186440677966
clinical_Mayo_age,0.40000000000000013,0.22033898305084731
clinical_Mayo_age,0.45000000000000007,0.19414483821263478
clinical_Mayo_age,0.5000000000000001,0.03389830508474562
clinical_Mayo_age,0.5500000000000002,0.047080979284368996
clinical_Mayo_age,0.6000000000000002,0.042372881355932035
clinical_Mayo_age,0.6500000000000001,0.007263922518159757
clinical_Mayo_age,0.7000000000000002,-0.06214689265536731
clinical_Mayo_age,0.7500000000000002,0.0
clinical_Mayo_age,0.8000000000000002,0.0
clinical_plus_myeloid,0.1,0.4915254237288136
clinical_plus_myeloid,0.15000000000000002,0.44466600199401796
clinical_plus_myeloid,0.20000000000000004,0.4152542372881356
clinical_plus_myeloid,0.25000000000000006,0.38418079096045193
clinical_plus_myeloid,0.30000000000000004,0.3486682808716707
clinical_plus_myeloid,0.3500000000000001,0.318122555410691
clinical_plus_myeloid,0.40000000000000013,0.271186440677966
clinical_plus_myeloid,0.45000000000000007,0.18798151001540825
clinical_plus_myeloid,0.5000000000000001,0.11864406779661008
clinical_plus_myeloid,0.5500000000000002,0.05273069679849324
clinical_plus_myeloid,0.6000000000000002,0.09322033898305068
clinical_plus_myeloid,0.6500000000000001,0.1259079903147699
clinical_plus_myeloid,0.7000000000000002,-1.1102230246251565e-16
clinical_plus_myeloid,0.7500000000000002,0.03389830508474569
clinical_plus_myeloid,0.8000000000000002,0.03389830508474576
clinical_plus_barrier,0.1,0.4915254237288136
clinical_plus_barrier,0.15000000000000002,0.4616151545363908
clinical_plus_barrier,0.20000000000000004,0.4279661016949152
clinical_plus_barrier,0.25000000000000006,0.3728813559322034
clinical_plus_barrier,0.30000000000000004,0.3123486682808716
clinical_plus_barrier,0.3500000000000001,0.22033898305084737
clinical_plus_barrier,0.40000000000000013,0.21468926553672307
clinical_plus_barrier,0.45000000000000007,0.20493066255778114
clinical_plus_barrier,0.5000000000000001,0.11864406779661008
clinical_plus_barrier,0.5500000000000002,0.011299435028248372
clinical_plus_barrier,0.6000000000000002,0.042372881355932035
clinical_plus_barrier,0.6500000000000001,-0.05569007263922526
clinical_plus_barrier,0.7000000000000002,0.005649717514124214
clinical_plus_barrier,0.7500000000000002,-0.016949152542372947
clinical_plus_barrier,0.8000000000000002,0.0
clinical_plus_myeloid_barrier,0.1,0.4915254237288136
clinical_plus_myeloid_barrier,0.15000000000000002,0.44466600199401796
clinical_plus_myeloid_barrier,0.20000000000000004,0.39406779661016944
clinical_plus_myeloid_barrier,0.25000000000000006,0.38418079096045193
clinical_plus_myeloid_barrier,0.30000000000000004,0.3486682808716707
clinical_plus_myeloid_barrier,0.3500000000000001,0.30117340286831806
clinical_plus_myeloid_barrier,0.40000000000000013,0.2372881355932202
clinical_plus_myeloid_barrier,0.45000000000000007,0.1741140215716486
clinical_plus_myeloid_barrier,0.5000000000000001,0.10169491525423718
clinical_plus_myeloid_barrier,0.5500000000000002,0.06967984934086613
clinical_plus_myeloid_barrier,0.6000000000000002,0.05932203389830487
clinical_plus_myeloid_barrier,0.6500000000000001,0.04600484261501203
clinical_plus_myeloid_barrier,0.7000000000000002,0.05649717514124286
clinical_plus_myeloid_barrier,0.7500000000000002,0.03389830508474569
clinical_plus_myeloid_barrier,0.8000000000000002,0.03389830508474576
