cohort,stratum,signature,signature_type,development_overlap,n_responder,n_non_responder,hedges_g_R_minus_NR,variance_g,ci95_low_g,ci95_high_g,oriented_AUC_response,mannwhitney_p,axis,level
GSE92415,disease_group:UC,stromal_fibroinflammatory,current_module,False,32,27,-0.26289435993467636,0.06889329532199724,-0.7773459935300849,0.2515572736607322,0.5844907407407407,0.2700044220537463,disease_group,UC
GSE92415,tissue_group:colon,myeloid_inflammation,current_module,False,32,27,-0.743032092801539,0.07312999046627418,-1.273066215641983,-0.212997969961095,0.7210648148148149,0.0037511351983291696,tissue_group,colon
GSE92415,tissue_group:colon,epithelial_ifn_damage,current_module,False,32,27,-0.31855579387554334,0.06917719312310439,-0.8340663224796814,0.1969547347285947,0.6006944444444445,0.18815538533168163,tissue_group,colon
GSE92415,tissue_group:colon,epithelial_barrier_maturity,current_module,False,32,27,0.36099663543088834,0.0694301823948653,-0.1554556747470356,0.8774489456088123,0.6076388888888888,0.159325798546183,tissue_group,colon
GSE92415,tissue_group:colon,stromal_fibroinflammatory,current_module,False,32,27,-0.26289435993467636,0.06889329532199724,-0.7773459935300849,0.2515572736607322,0.5844907407407407,0.2700044220537463,tissue_group,colon
GSE92415,drug:golimumab,myeloid_inflammation,current_module,False,32,27,-0.743032092801539,0.07312999046627418,-1.273066215641983,-0.212997969961095,0.7210648148148149,0.0037511351983291696,drug,golimumab
GSE92415,drug:golimumab,epithelial_ifn_damage,current_module,False,32,27,-0.31855579387554334,0.06917719312310439,-0.8340663224796814,0.1969547347285947,0.6006944444444445,0.18815538533168163,drug,golimumab
GSE92415,drug:golimumab,epithelial_barrier_maturity,current_module,False,32,27,0.36099663543088834,0.0694301823948653,-0.1554556747470356,0.8774489456088123,0.6076388888888888,0.159325798546183,drug,golimumab
GSE92415,drug:golimumab,stromal_fibroinflammatory,current_module,False,32,27,-0.26289435993467636,0.06889329532199724,-0.7773459935300849,0.2515572736607322,0.5844907407407407,0.2700044220537463,drug,golimumab
E-MTAB-7604,disease_group:mixed_IBD,myeloid_inflammation,current_module,False,19,25,-0.7735199211912028,0.0997545916673642,-1.3925653471086763,-0.15447449527372925,0.7136842105263158,0.016707166630798485,disease_group,mixed_IBD
E-MTAB-7604,disease_group:mixed_IBD,epithelial_ifn_damage,current_module,False,19,25,0.04960289719227564,0.09266086998796208,-0.5470259641157867,0.646231758500338,0.47578947368421054,0.7943751482493642,disease_group,mixed_IBD
E-MTAB-7604,disease_group:mixed_IBD,epithelial_barrier_maturity,current_module,False,19,25,0.6412934404651117,0.0975274989090777,0.029197337055595685,1.2533895438746279,0.6673684210526316,0.061231170758980276,disease_group,mixed_IBD
E-MTAB-7604,disease_group:mixed_IBD,stromal_fibroinflammatory,current_module,False,19,25,-0.39558663999642246,0.09449454073003104,-0.9980899409570789,0.20691666096423394,0.6252631578947367,0.1621300790605643,disease_group,mixed_IBD
E-MTAB-7604,tissue_group:colon,myeloid_inflammation,current_module,False,10,17,-0.6873566154760462,0.1682727117485384,-1.4913693326971016,0.11665610174500929,0.6882352941176471,0.11374004541200786,tissue_group,colon
E-MTAB-7604,tissue_group:colon,epithelial_ifn_damage,current_module,False,10,17,0.17844506116295686,0.1594603822088337,-0.6042317586633719,0.9611218809892856,0.43529411764705883,0.5980538285610385,tissue_group,colon
E-MTAB-7604,tissue_group:colon,epithelial_barrier_maturity,current_module,False,10,17,0.5967003814117585,0.16594455631530347,-0.20173096037090832,1.3951317231944254,0.6647058823529411,0.16735115922725363,tissue_group,colon
E-MTAB-7604,tissue_group:colon,stromal_fibroinflammatory,current_module,False,10,17,-0.35356045080087584,0.16132362925917507,-1.1407966632314568,0.4336757616297051,0.6235294117647059,0.3033397977721557,tissue_group,colon
E-MTAB-7604,tissue_group:ileum,myeloid_inflammation,current_module,False,9,8,-0.6851788824103531,0.2517601144744811,-1.6686226559760646,0.2982648911553586,0.6944444444444444,0.1995886466474702,tissue_group,ileum
E-MTAB-7604,tissue_group:ileum,epithelial_ifn_damage,current_module,False,9,8,-0.6403334519258065,0.24977867543295174,-1.6198995597221244,0.3392326558705113,0.6944444444444444,0.1995886466474702,tissue_group,ileum
