state,gene,specificity_log2cpm,n_each
inflammatory_monocyte,CDC42EP2,1.9506948769211085,25
inflammatory_monocyte,PPP1R17,1.9276773450407167,25
other_myeloid,TPSAB1,8.998517450567922,25
other_myeloid,TPSB2,8.847956313684756,25
other_myeloid,CPA3,8.09753508811098,25
other_myeloid,MS4A2,6.781619001758423,25
other_myeloid,CTSG,6.091894539268541,25
other_myeloid,HDC,5.978020583770568,25
other_myeloid,RHEX,5.627788053209529,25
other_myeloid,GZMB,5.611045341186349,25
other_myeloid,SLC18A2,5.5547926439028625,25
other_myeloid,KRT1,5.470383004009235,25
other_myeloid,CLNK,4.969258478500182,25
other_myeloid,CCL22,4.84090409412951,25
other_myeloid,ADCYAP1,4.741307433182603,25
other_myeloid,AL157895.1,4.592569612972566,25
other_myeloid,HPGDS,4.5415765784226085,25
other_myeloid,LTC4S,4.203378512801656,25
other_myeloid,GCSAML,3.8999158776342617,25
other_myeloid,UTS2,3.8873720593148207,25
other_myeloid,KIT,3.6456381414111463,25
other_myeloid,RGS13,3.5233063291652207,25
other_myeloid,TCL1A,3.3036409151952224,25
other_myeloid,GRAP2,3.2447236500043326,25
other_myeloid,CLEC9A,3.210445234342815,25
other_myeloid,TPSD1,3.168836116862315,25
other_myeloid,NTRK1,3.1152691912067314,25
stroma,CALD1,9.464166806343155,25
stroma,CCL11,9.126642280846415,25
stroma,COL1A2,8.994627584989413,25
stroma,POSTN,8.886904777894966,25
stroma,FBLN1,8.160361418456949,25
stroma,CXCL14,8.059248483257162,25
stroma,MGP,8.04638775412457,25
stroma,COL4A1,8.030778459232852,25
stroma,THY1,8.010316051434442,25
stroma,CAV1,8.007182372475302,25
stroma,BGN,7.972903824848099,25
stroma,COL6A3,7.873253933042882,25
stroma,SPARCL1,7.833938549676212,25
stroma,LAMA4,7.823842857935687,25
stroma,NDUFA4L2,7.718516720184345,25
stroma,ACTA2,7.688275279655329,25
stroma,COL5A1,7.660943666995922,25
stroma,COL5A2,7.635398155473407,25
stroma,MMP2,7.589571132171458,25
stroma,CYGB,7.5733197094390965,25
stroma,COL14A1,7.514707824433783,25
stroma,MCAM,7.410761808165859,25
stroma,MFAP4,7.361831151982008,25
stroma,TCF21,7.335295329560921,25
stroma,CARMN,7.307929494352129,25
colonic_epithelium,CEACAM5,8.206890050110651,25
colonic_epithelium,LGALS4,8.015016225608854,25
colonic_epithelium,FABP1,7.917941074295735,25
colonic_epithelium,PHGR1,7.864190418192195,25
colonic_epithelium,AGR2,7.854650574883911,25
colonic_epithelium,KRT19,7.710479262566434,25
colonic_epithelium,PIGR,7.638066119374903,25
colonic_epithelium,PI3,7.595654456119814,25
colonic_epithelium,TSPAN8,7.53193817760212,25
colonic_epithelium,REG1A,7.457269515756056,25
colonic_epithelium,GPX2,7.410716881268263,25
colonic_epithelium,CLDN3,7.387164152405744,25
colonic_epithelium,EPCAM,7.347145873424212,25
colonic_epithelium,CEACAM6,7.302488669385497,25
colonic_epithelium,SPINK4,7.263151886513444,25
colonic_epithelium,TSPAN1,7.262335399075686,25
colonic_epithelium,C10orf99,7.251610172074632,25
colonic_epithelium,CEACAM7,7.1508386968091315,25
colonic_epithelium,TFF1,7.131011311770271,25
colonic_epithelium,SMIM22,7.124667935220296,25
colonic_epithelium,CLDN4,7.082736901021513,25
colonic_epithelium,ELF3,7.050918039379123,25
colonic_epithelium,REG1B,7.00113872666344,25
colonic_epithelium,S100A14,6.973914429436089,25
colonic_epithelium,DUOXA2,6.939199925032851,25
