state,gene,specificity_log2cpm,n_each
resident_like_macrophage,CHIT1,4.548187968506625,25
resident_like_macrophage,PLA2G2D,4.512649623428317,25
resident_like_macrophage,CCL18,4.226691753192172,25
resident_like_macrophage,GPNMB,3.830382161890813,25
resident_like_macrophage,APOC1,3.417732074222033,25
resident_like_macrophage,ALOX15B,3.393935127925827,25
resident_like_macrophage,MMP12,3.3592781964504166,25
resident_like_macrophage,ATP6V0D2,3.1246385072815617,25
resident_like_macrophage,FUCA1,3.0542733002852778,25
resident_like_macrophage,MMP9,2.9460282591769893,25
resident_like_macrophage,CYP27B1,2.876824811751744,25
resident_like_macrophage,OTOA,2.8646811761500417,25
resident_like_macrophage,RAB42,2.8540451615077096,25
resident_like_macrophage,ACP5,2.7402737565017548,25
resident_like_macrophage,HSD17B14,2.6436427720896924,25
resident_like_macrophage,LINC02384,2.6381215347617237,25
resident_like_macrophage,CYP27A1,2.5642224316495477,25
resident_like_macrophage,LINC02345,2.557829446778057,25
resident_like_macrophage,FABP3,2.5568145164910465,25
resident_like_macrophage,CTSD,2.5501163672000224,25
resident_like_macrophage,HS3ST2,2.5467201181786994,25
resident_like_macrophage,FOLR2,2.5235820945046323,25
resident_like_macrophage,TREM2,2.408282771297115,25
resident_like_macrophage,NR1H3,2.386051927615381,25
resident_like_macrophage,AURKC,2.360080198947018,25
inflammatory_monocyte,ACOD1,4.161545314971901,25
inflammatory_monocyte,RETN,3.647310799176978,25
inflammatory_monocyte,CD300E,3.250013527480304,25
inflammatory_monocyte,OLIG1,3.140650581004737,25
inflammatory_monocyte,SERPINB2,3.033798312375286,25
inflammatory_monocyte,SLC11A1,2.8865300084713104,25
inflammatory_monocyte,FFAR2,2.8855011817188614,25
inflammatory_monocyte,MCEMP1,2.881232466796393,25
inflammatory_monocyte,MIR3945HG,2.8700635954546536,25
inflammatory_monocyte,AC245128.3,2.7168075673661387,25
inflammatory_monocyte,FOLR3,2.458730340824303,25
inflammatory_monocyte,GLT1D1,2.3519441134595596,25
inflammatory_monocyte,LUCAT1,2.335562241931169,25
inflammatory_monocyte,KCNJ2,2.164313455225498,25
inflammatory_monocyte,VSTM1,2.158696428740127,25
inflammatory_monocyte,SMIM25,2.154748183579602,25
inflammatory_monocyte,RNASE2,2.1477018358491127,25
inflammatory_monocyte,VNN3,2.124124950425247,25
inflammatory_monocyte,OLIG2,2.107277658916787,25
inflammatory_monocyte,ACSL1,2.0179406205033716,25
inflammatory_monocyte,NLRP12,2.0121330211514543,25
inflammatory_monocyte,AATBC,1.993474484174168,25
inflammatory_monocyte,LILRA2,1.9844896613503713,25
