geo_accession,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
ERR3079601,0.0,0.0,0.04783467767297526,0.19967674029477597,0.7524885820322488
ERR3079577,0.000139855018924786,0.0,0.1129733714879908,0.39407278435176385,0.4928139891413205
ERR3079598,0.0,0.0,0.07835403836271689,0.297866286099748,0.623779675537535
ERR3079591,0.0,0.016018536579311297,0.06371840916952073,0.3126447069211752,0.6076183473299928
ERR3079574,0.0,0.0,0.0653153520602581,0.3370823606686145,0.5976022872711273
ERR3079584,0.0,0.0,0.07821843485021554,0.27069681204382073,0.6510847531059637
ERR3079582,0.034601474442325544,0.09451649516805627,0.0,0.32194065739044886,0.5489413729991693
ERR3079564,0.0,0.0,0.06453552200232933,0.3112966947070068,0.6241677832906638
ERR3079570,0.009594968546964951,0.0,0.04080927837662581,0.3112126936141961,0.6383830594622131
ERR3079569,0.0,0.0,0.04096007999368764,0.3182162266423605,0.640823693363952
ERR3079594,0.0,0.0,0.12408652338597873,0.2725136431032618,0.6033998335107594
ERR3079592,0.0,0.0,0.007640976309030158,0.3326355283846533,0.6597234953063165
ERR3079572,0.0,0.0,0.08019767232836476,0.3266082264834811,0.5931941011881542
ERR3079568,0.0,0.05226324213853655,0.0,0.3103996619179289,0.6373370959435346
ERR3079580,0.04506688918281331,0.0,0.0,0.32550539760210706,0.6294277132150796
ERR3079583,0.0,0.11647815557224503,0.017751374745749605,0.5314590421295409,0.33431142755246446
ERR3079563,0.02896394953590721,0.0,0.01585904878791298,0.3071761922623838,0.6480008094137959
ERR3079566,0.0,0.0,0.02089220565032744,0.26822916191645646,0.7108786324332161
ERR3079587,0.0,0.06608619797743708,0.009596955703925597,0.19812929460940037,0.7261875517092369
ERR3079586,0.0,0.01936065744748405,0.0028901577512890683,0.5427888498178103,0.4349603349834166
ERR3079600,0.0,0.0,0.04550617046641011,0.26768033120321116,0.6868134983303787
ERR3079560,0.0,0.0,0.1100350090913586,0.3844385922675562,0.5055263986410851
ERR3079567,0.0,0.025332991646734446,0.053474267241507084,0.3356301372063775,0.585562603905381
ERR3079559,0.0,0.0,0.09456352939983902,0.32494848284371325,0.5804879877564477
ERR3079595,0.0,0.0,0.09983463776273305,0.408679381969705,0.491485980267562
ERR3079589,0.0,0.0,0.07879763280589687,0.2326891591905883,0.6885132080035148
ERR3079558,0.0,0.0,0.06998883075870097,0.37277483023426355,0.5572363390070355
ERR3079565,0.0,0.0,0.10944761944571248,0.3290505165927459,0.5615018639615417
ERR3079575,0.048932971892187184,0.0,0.03359855842897643,0.26895020927365976,0.6485182604051767
ERR3079579,0.0,0.011136887137188183,0.0,0.3355930688759943,0.6532700439868174
ERR3079573,0.0,0.0,0.005610298066882891,0.2337828075139535,0.7606068944191636
ERR3079562,0.0,0.0,0.09167073965460314,0.340847745679799,0.5674815146655979
ERR3079588,0.0,0.0,0.04238457607776014,0.27096397868389266,0.6866514452383472
ERR3079599,0.016191665592892143,0.0,0.011601373201457661,0.2721656094689269,0.7000413517367233
ERR3079590,0.0,0.07261723892602996,0.044548857843670284,0.3036181787297137,0.5792157245005861
ERR3079578,0.0,0.029567712649834592,0.06631126967350792,0.44625715348669526,0.4578638641899621
ERR3079596,0.009995735802261487,0.0,0.0468916800707331,0.3663917051107858,0.5767208790162197
ERR3079585,0.027011942313200536,0.009947143759638653,0.027485930220939207,0.24485524521707946,0.6906997384891421
ERR3079581,0.11765745789766155,0.0,0.06226417920539516,0.11571383421501304,0.7043645286819302
ERR3079571,0.0,0.0,0.03271433217195618,0.23533145498780753,0.7319542128402363
ERR3079597,0.0,0.0,0.05622526125685937,0.3123791295884773,0.6313956091546632
ERR3079561,0.0,0.010418532744842165,0.07978718419994331,0.34129815553735077,0.5684961275178638
ERR3079576,0.0,0.0,0.09317423604034593,0.25130138676180175,0.6555243771978524
ERR3079593,0.0,0.04013887998705174,0.07511223205243094,0.39432791391413513,0.49042097404638213
