cohort,stratum,n,myeloid_beta_unadjusted,myeloid_beta_composition_adjusted,absolute_beta_change,attenuation_fraction
GSE16879,GSE16879_UC_colon,24,-1.1609068749140912,-1.2602992803006883,-0.0993924053865971,-0.08561617433263309
GSE23597,GSE23597_UC_colon,32,-0.8648352642514164,-0.9948706952938529,-0.13003543104243642,-0.1503586132730057
GSE92415,GSE92415_UC_colon,59,-0.7398688362470646,-0.7173059494911176,0.022562886755946976,0.030495792835924428
E-MTAB-7604,E-MTAB-7604_IBD_colon,27,-0.6293387806662732,-0.7730056489900188,-0.14366686832374553,-0.22828224278765594
