model,n,repeats,oof_auc,oof_brier,logistic_calibration_slope,fold_auc_q025,fold_auc_q975,delta_oof_auc_vs_clinical,delta_oof_brier_vs_clinical
clinical_Mayo_age,59,100,0.5451388888888888,0.25166284387018084,0.3315575072365178,0.23875000000000002,0.8571428571428572,0.0,0.0
clinical_plus_myeloid,59,100,0.6423611111111112,0.23602852666097746,0.624143148980337,0.37972222222222224,0.9166666666666667,0.09722222222222232,-0.015634317209203386
clinical_plus_barrier,59,100,0.5601851851851852,0.25339757096338134,0.32355094332475404,0.24999999999999994,0.8640277777777777,0.015046296296296391,0.0017347270932004943
clinical_plus_myeloid_barrier,59,100,0.6284722222222222,0.24363832394235918,0.5045888438936968,0.3515277777777778,0.9,0.08333333333333337,-0.00802451992782166
