geo_accession,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
GSM578713,0.0,0.0,0.16114953673577043,0.37664982223208837,0.46220064103214126
GSM578714,0.0,0.0,0.15878589451424416,0.3262673445445862,0.5149467609411696
GSM578715,0.04456425685389713,0.0,0.058439400683694284,0.17871960808690754,0.718276734375501
GSM578716,0.03507986921449853,0.0,0.135163961547478,0.1368636330152359,0.6928925362227876
GSM578717,0.023912822526276738,0.0,0.07483101439553809,0.19099831710187828,0.7102578459763069
GSM578718,0.05504385285216111,0.020907508182165305,0.018439718760622767,0.19006929727023106,0.7155396229348198
GSM578719,0.02123196970453477,0.004619118524825708,0.031848448667280156,0.1457046620797311,0.7965958010236283
GSM578720,0.07757800038352211,0.0,0.03752230759243565,0.1496685183859639,0.7352311736380783
GSM578721,0.0,0.0,0.0202339159712613,0.2067782973205618,0.7729877867081769
GSM578722,0.0,0.0,0.11282446011678073,0.12593310006416447,0.7612424398190548
GSM578723,0.0,0.0,0.07667612885652683,0.13533643267292528,0.7879874384705479
GSM578724,0.003767762267839018,0.0,0.09962101055347304,0.1771685696958246,0.7194426574828634
GSM578725,0.0,0.0,0.08804825339696219,0.10363801340803554,0.8083137331950022
GSM578726,0.0,0.0,0.09238435009538755,0.1171059666035276,0.790509683301085
GSM578727,0.0,0.02328245476301628,0.024822143969336415,0.16793661285455483,0.7839587884130924
GSM578728,0.040930346648865856,0.0,0.0512118582713362,0.1284556704594928,0.7794021246203051
GSM578729,0.021212298369378206,0.0,0.044565316590247574,0.17281033739253024,0.761412047647844
GSM578730,0.0,0.2491985783134047,0.0,0.0670229137236491,0.6837785079629463
GSM578731,0.016123726966711115,0.0018792476352526752,0.09323362726805025,0.10218917206891127,0.7865742260610746
GSM578732,0.010138175585430152,0.0,0.09170197268946433,0.08197173588394657,0.8161881158411589
GSM578733,0.019975133168116728,0.0,0.07668616120164523,0.16097402685458087,0.7423646787756571
GSM578734,0.0,0.0,0.08579757179032259,0.16891702259138072,0.7452854056182966
GSM578735,0.0,0.0,0.07746146430516929,0.12696780666063104,0.7955707290341997
GSM578736,0.012165095510304183,0.0,0.08407374856090696,0.11988776659794108,0.7838733893308477
GSM578737,0.0,0.02949846232044453,0.07851249016720017,0.10580026155427062,0.7861887859580847
GSM578738,0.0,0.04124566101765767,0.0018552373535396004,0.203912775257744,0.7529863263710587
GSM578739,0.0,0.17221045945764932,0.05168539090562937,0.09473249693285056,0.6813716527038708
GSM578740,0.04408623090958317,0.19382672661670008,0.0,0.07912770569414797,0.6829593367795688
GSM578741,0.0018507969749829507,0.18657415080950432,0.018172677860779415,0.14337546937029788,0.6500269049844355
GSM578742,0.05125903975058193,0.022412671112738453,0.05197250527693326,0.24075210662482396,0.6336036772349224
GSM578743,0.01660796013236525,0.07410572828571027,0.00518343289940136,0.12348214659656698,0.7806207320859562
GSM578744,0.0,0.0,0.039848713808929376,0.24539190907675906,0.7147593771143116
GSM578745,0.0,0.0,0.114436197128211,0.1268412858001827,0.7587225170716063
GSM578746,0.0,0.0,0.06400536914665994,0.22777341926867212,0.7082212115846679
GSM578747,0.0,0.0,0.08478471418961644,0.1876868331222382,0.7275284526881454
GSM578748,0.0,0.0,0.020894403670517602,0.23367541277789952,0.7454301835515829
GSM578749,0.0,0.0,0.018773510332967546,0.29352347465895634,0.6877030150080762
GSM578750,0.0,0.0,0.08099976201697698,0.2545507762096416,0.6644494617733814
GSM578751,0.0,0.0,0.1092205191432351,0.24039729612121508,0.6503821847355499
GSM578752,0.0,0.0,0.08617031969627008,0.2549860666606214,0.6588436136431085
GSM578753,0.0,0.0,0.0445706247779987,0.24094730777814513,0.7144820674438561
GSM578754,0.0,0.0,0.03361574885724757,0.1951083908026137,0.7712758603401387
GSM578755,0.037269868170124704,0.0,0.025378343900582197,0.1583751450956475,0.7789766428336456
GSM578756,0.0,0.0,0.023738481118969427,0.2226318554302181,0.7536296634508125
GSM578757,0.0,0.23089906850626307,0.11504300547391415,0.30774830900466527,0.34630961701515756
GSM578758,0.0,0.034790687825858604,0.12034004055987216,0.31549089310156314,0.5293783785127062
GSM578759,0.0,0.0,0.04347335062969916,0.28071786979398505,0.6758087795763158
GSM578760,0.0,0.03524911191970124,0.04379006570521073,0.22167229878875938,0.6992885235863286
GSM578761,0.0,0.0,0.02496894668033098,0.193824468656458,0.781206584663211
GSM578762,0.09687240673558843,0.03083840468663645,0.024318033462930152,0.19128281380922948,0.6566883413056155
GSM578763,0.0,0.0,0.04287460211456841,0.16799174502798542,0.7891336528574462
GSM578764,0.0783033246383039,0.04823595462759744,0.0039078927396196715,0.10400781646311477,0.7655450115313642
GSM578765,0.0,0.0,0.07393751330019652,0.21610051896314902,0.7099619677366544
GSM578766,0.0,0.0,0.05574438803719121,0.16062803396388287,0.7836275779989259
GSM578767,0.0,0.0,0.057029443844627846,0.20210894534289103,0.7408616108124811
GSM578768,0.0,0.0,0.12160523784328041,0.10993259009826852,0.768462172058451
GSM578769,0.0,0.0,0.11554815698984991,0.15894997376332887,0.7255018692468213
GSM578770,0.0,0.0,0.09545009114057197,0.1519266771579897,0.7526232317014383
GSM578771,0.004599774001787471,0.11886071475926537,0.0164162333890286,0.28449234381750643,0.5756309340324121
GSM578772,0.07006042676759335,0.08040595107598389,0.045008689107560264,0.3072461329043161,0.49727880014454634
GSM578773,0.013960234920135104,0.0032980156719369905,0.038221963141033655,0.12502564906306962,0.8194941372038246
GSM578774,0.003086430747140341,0.16751688739116635,0.028788173061696835,0.11690310265468645,0.6837054061453101
GSM578775,0.018936583922014742,0.10010558538621439,0.03920920644703292,0.19227008880051527,0.6494785354442226
GSM578776,0.05007824226639706,0.0,0.06061073199974021,0.13816431216406289,0.7511467135697998
GSM578777,0.0,0.0,0.08649316219344914,0.16384721462861598,0.7496596231779349
GSM578778,0.0,0.0,0.07948712101185917,0.17123145909679252,0.7492814198913482
GSM578779,0.0,0.1431778986298404,0.010738062247100558,0.16847632453107933,0.6776077145919797
GSM578780,0.0,0.09432163463924102,0.06741051323727597,0.09892733230221966,0.7393405198212634
GSM578781,0.015493032167533885,0.11756980239885369,0.014645475603594546,0.08727340420387622,0.7650182856261417
GSM578782,0.0,0.25339712380635626,0.05050332076783457,0.12422163400899133,0.5718779214168178
GSM578783,0.0,0.1141318251335027,0.07103356522596134,0.14069030509606237,0.6741443045444735
GSM578784,0.0,0.2031096625822161,0.04162363260481067,0.05379049565649471,0.7014762091564786
GSM578785,0.024436899690782717,0.0,0.10334925236043328,0.10397759189180313,0.7682362560569809
GSM578786,0.03258015410714603,0.0,0.09773473090334879,0.14759186955315418,0.722093245436351
GSM578787,0.0,0.0,0.10566232560511592,0.13668521221513075,0.7576524621797533
GSM578788,0.015878657062752023,0.040903293545079766,0.09270851230442649,0.19792960808722662,0.6525799290005151
GSM578789,0.005965847767755956,0.0,0.08073191593576996,0.20574222272922632,0.7075600135672477
GSM578790,0.0,0.16965133557183945,0.002324727744072533,0.22859760182568906,0.5994263348583989
GSM578791,0.0,0.0,0.08571664855737336,0.2718400636641813,0.6424432877784454
GSM578792,0.008809746234788111,0.030316687452905878,0.08629214791692776,0.12480447652728353,0.7497769418680946
GSM578793,0.0,0.056489135136411364,0.07299452054687627,0.18432570036088805,0.6861906439558243
GSM578794,0.0,0.10233161416238548,0.024473452305684013,0.22902691408856327,0.6441680194433672
GSM578795,0.0,0.01586671277596285,0.07563990384142819,0.13631049794733957,0.7721828854352695
GSM578796,0.0,0.0,0.10108795114370474,0.2099521103342489,0.6889599385220463
GSM578797,0.014726204306427675,0.14048910166409717,0.02098399975737088,0.09633366739785314,0.7274670268742511
GSM578798,0.0,0.0,0.07273059237846424,0.11398648714850727,0.8132829204730285
GSM578799,0.013792552625852177,0.007234019022771627,0.06348591602895588,0.06714270342775804,0.8483448088946623
GSM578800,0.06823641799754343,0.0,0.0673573062979517,0.06057138943884883,0.803834886265656
GSM578801,0.0,0.0,0.1212749310702415,0.1328007930416232,0.7459242758881354
GSM578802,0.050377351579882095,0.0,0.125702360335397,0.12308499437772774,0.700835293706993
GSM578803,0.0,0.008599277852969243,0.09740646105170375,0.251535625402238,0.642458635693089
GSM578804,0.0,0.03960528099021507,0.09228550050117275,0.08440104446266482,0.7837081740459474
GSM578805,0.0,0.0,0.10284030057807685,0.1554978438296156,0.7416618555923076
GSM578806,0.0,0.0,0.08939733756809537,0.14373439005725316,0.7668682723746514
GSM578807,0.0,0.16782453425951913,0.025149284092012485,0.10715904591074252,0.699867135737726
GSM578808,0.0211784732094092,0.05721058895621925,0.04093952301113501,0.16193076796292302,0.7187406468603136
GSM578809,0.027545691244629418,0.0,0.07202341496945563,0.1377333887334807,0.7626975050524343
GSM578810,0.0,0.0,0.06262926563308391,0.20658178327036228,0.7307889510965538
GSM578811,0.0,0.030536813037201606,0.04351429516319568,0.1406193936775379,0.7853294981220648
